playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result
Canna,Dplus Kia,top,13.01,2023,2023-01-18 08:17:31,724.0,771.0,-4.0,5017.0,7646.0,107.0,3,1,6,20,639.5907,0.222049,770.4757,681.0066,32.0,1.0619,10.0,2.0,0.3319,0.0664,6.0,7875,261.3385,0.192233,8.2633,2153.0,0.0,0.0,0.0,LCK,complete,1808,1
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1
Deft,Dplus Kia,bot,13.01,2023,2023-01-18 08:17:31,1174.0,1234.0,13.0,5651.0,5713.0,132.0,9,0,9,20,1146.4381,0.398014,458.031,260.4757,33.0,1.0951,15.0,8.0,0.4978,0.2655,4.0,12607,418.3739,0.307742,10.3872,5837.0,0.0,0.0,0.0,LCK,complete,1808,1
Kellin,Dplus Kia,sup,13.01,2023,2023-01-18 08:17:31,530.0,-47.0,-3.0,3685.0,3598.0,2.0,1,0,17,20,180.9956,0.062837,251.3827,153.8496,74.0,2.4558,51.0,4.0,1.6925,0.1327,14.0,4459,147.9757,0.108847,0.1659,669.0,0.0,0.0,0.0,LCK,complete,1808,1
Rascal,DRX,top,13.01,2023,2023-01-18 08:17:31,-724.0,-771.0,4.0,4293.0,6875.0,111.0,2,5,0,4,468.5509,0.241186,1043.4624,826.7257,23.0,0.7633,12.0,10.0,0.3982,0.3319,4.0,5937,197.0243,0.233381,7.4336,0.0,0.0,0.0,0.0,LCK,complete,1808,0
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0
FATE,DRX,mid,13.01,2023,2023-01-18 08:17:31,-410.0,32.0,-10.0,4923.0,7388.0,132.0,0,4,3,4,426.8695,0.21973,541.7588,387.3451,21.0,0.6969,13.0,4.0,0.4314,0.1327,5.0,6053,200.8739,0.237941,8.8274,74.0,0.0,1.0,0.0,LCK,complete,1808,0
deokdam,DRX,bot,13.01,2023,2023-01-18 08:17:31,-1174.0,-1234.0,-13.0,4477.0,4479.0,119.0,1,6,2,4,370.1549,0.190536,847.8319,694.8119,43.0,1.427,13.0,18.0,0.4314,0.5973,5.0,7290,241.9248,0.286566,9.3252,0.0,0.0,0.0,0.0,LCK,complete,1808,0
BeryL,DRX,sup,13.01,2023,2023-01-18 08:17:31,-530.0,47.0,3.0,3155.0,3645.0,5.0,0,2,3,4,171.9358,0.0885036,243.385,217.5332,67.0,2.2235,30.0,7.0,0.9956,0.2323,10.0,1866,61.9248,0.0733539,0.2987,214.0,0.0,0.0,0.0,LCK,complete,1808,0
Canna,Dplus Kia,top,13.01,2023,2023-01-18 09:13:04,303.0,298.0,1.0,5157.0,7711.0,130.0,1,1,6,17,686.6697,0.270718,743.3533,748.1621,39.0,1.0778,12.0,4.0,0.3316,0.1105,7.0,7893,218.1391,0.182919,7.4896,4068.0,0.0,0.0,0.0,LCK,complete,2171,1
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 09:13:04,141.0,458.0,-5.0,4732.0,5680.0,88.0,5,1,6,17,292.6209,0.115365,736.2506,1375.1635,64.0,1.7688,22.0,16.0,0.608,0.4422,11.0,7686,212.4182,0.178122,5.1405,1457.0,0.0,0.0,0.0,LCK,complete,2171,1
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 09:13:04,-54.0,-249.0,-9.0,5217.0,7774.0,141.0,3,0,8,17,729.7835,0.287716,514.4081,324.1271,62.0,1.7135,21.0,9.0,0.5804,0.2487,7.0,10356,286.2091,0.240002,8.9544,6042.0,0.0,0.0,0.0,LCK,complete,2171,1
Deft,Dplus Kia,bot,13.01,2023,2023-01-18 09:13:04,222.0,-198.0,-3.0,5476.0,5811.0,139.0,7,2,4,17,627.637,0.247445,574.9332,371.9945,50.0,1.3819,18.0,11.0,0.4975,0.304,7.0,12815,354.1686,0.296992,10.281,12126.0,0.0,1.0,0.0,LCK,complete,2171,1
Kellin,Dplus Kia,sup,13.01,2023,2023-01-18 09:13:04,675.0,229.0,-3.0,3698.0,3449.0,3.0,1,0,14,17,199.7605,0.0787553,173.1184,185.4998,92.0,2.5426,61.0,5.0,1.6859,0.1382,18.0,4400,121.6029,0.101965,0.1935,232.0,1.0,0.0,0.0,LCK,complete,2171,1
Rascal,DRX,top,13.01,2023,2023-01-18 09:13:04,-303.0,-298.0,-1.0,4854.0,7413.0,129.0,3,3,1,4,431.193,0.208968,979.3736,844.947,33.0,0.912,12.0,6.0,0.3316,0.1658,5.0,10238,282.948,0.298499,8.1529,5427.0,0.0,0.0,0.0,LCK,complete,2171,0
Croco,DRX,jng,13.01,2023,2023-01-18 09:13:04,-141.0,-458.0,5.0,4591.0,5222.0,93.0,0,5,3,4,451.2298,0.218679,1011.1561,735.1175,47.0,1.2989,11.0,10.0,0.304,0.2764,9.0,4786,132.2708,0.139534,3.9245,0.0,0.0,0.0,0.0,LCK,complete,2171,0
FATE,DRX,mid,13.01,2023,2023-01-18 09:13:04,54.0,249.0,9.0,5271.0,8023.0,150.0,1,3,0,4,683.9889,0.331481,477.7338,573.579,41.0,1.1331,15.0,5.0,0.4146,0.1382,9.0,7456,206.0617,0.217384,8.5122,0.0,0.0,0.0,0.0,LCK,complete,2171,0
deokdam,DRX,bot,13.01,2023,2023-01-18 09:13:04,-222.0,198.0,3.0,5254.0,6009.0,142.0,0,3,1,4,394.8779,0.191369,502.8835,560.6725,51.0,1.4095,12.0,12.0,0.3316,0.3316,4.0,9306,257.1902,0.271324,9.8664,3357.0,0.0,0.0,0.0,LCK,complete,2171,0
BeryL,DRX,sup,13.01,2023,2023-01-18 09:13:04,-675.0,-229.0,3.0,3023.0,3220.0,6.0,0,3,2,4,102.1465,0.0495031,368.7609,238.5076,102.0,2.819,40.0,17.0,1.1055,0.4698,15.0,2513,69.4519,0.0732593,0.7186,0.0,0.0,0.0,1.0,LCK,complete,2171,0
Zeus,T1,top,13.01,2023,2023-01-18 11:00:07,8.0,165.0,-5.0,5591.0,7989.0,143.0,4,3,9,18,624.2831,0.246396,799.8705,740.8696,43.0,1.1933,13.0,12.0,0.3608,0.333,7.0,11229,311.6281,0.242412,9.1582,3868.0,0.0,0.0,1.0,LCK,complete,2162,1
Oner,T1,jng,13.01,2023,2023-01-18 11:00:07,-130.0,-596.0,-4.0,5015.0,4996.0,90.0,4,2,7,18,186.4107,0.0735739,860.8696,1405.0324,71.0,1.9704,15.0,22.0,0.4163,0.6105,14.0,7606,211.0823,0.164198,4.6901,0.0,0.0,0.0,0.0,LCK,complete,2162,1
Faker,T1,mid,13.01,2023,2023-01-18 11:00:07,226.0,367.0,16.0,5309.0,7776.0,153.0,5,3,4,18,697.7706,0.275401,520.6846,330.1665,46.0,1.2766,22.0,7.0,0.6105,0.1943,9.0,9962,276.4662,0.21506,8.2424,4870.0,0.0,0.0,0.0,LCK,complete,2162,1
Gumayusi,T1,bot,13.01,2023,2023-01-18 11:00:07,143.0,-101.0,13.0,5598.0,5481.0,152.0,5,3,9,18,772.951,0.305074,401.4894,183.1637,37.0,1.0268,12.0,15.0,0.333,0.4163,3.0,12539,347.9833,0.270693,9.7687,9428.0,0.0,0.0,0.0,LCK,complete,2162,1
Keria,T1,sup,13.01,2023,2023-01-18 11:00:07,658.0,813.0,9.0,3745.0,4160.0,11.0,0,1,17,18,252.2387,0.0995553,304.8289,123.6078,116.0,3.2192,71.0,16.0,1.9704,0.444,23.0,4986,138.3719,0.107637,0.7216,2666.0,0.0,0.0,0.0,LCK,complete,2162,1
Doran,Gen.G,top,13.01,2023,2023-01-18 11:00:07,-8.0,-165.0,5.0,5583.0,7824.0,148.0,2,4,3,12,239.2784,0.117053,972.6827,1858.3626,45.0,1.2488,14.0,9.0,0.3885,0.2498,9.0,7443,206.5587,0.202195,7.4376,3280.0,1.0,0.0,0.0,LCK,complete,2162,0
Peanut,Gen.G,jng,13.01,2023,2023-01-18 11:00:07,130.0,596.0,4.0,5145.0,5592.0,94.0,1,6,9,12,576.494,0.282016,1034.0703,613.543,79.0,2.1924,37.0,17.0,1.0268,0.4718,15.0,6686,185.5504,0.18163,5.2729,60.0,0.0,1.0,0.0,LCK,complete,2162,0
Chovy,Gen.G,mid,13.01,2023,2023-01-18 11:00:07,-226.0,-367.0,-16.0,5083.0,7409.0,137.0,2,2,7,12,732.3774,0.358273,474.6994,377.1508,48.0,1.3321,16.0,9.0,0.444,0.2498,6.0,8607,238.8622,0.233816,8.6031,0.0,0.0,0.0,0.0,LCK,complete,2162,0
Peyz,Gen.G,bot,13.01,2023,2023-01-18 11:00:07,-143.0,101.0,-13.0,5455.0,5582.0,139.0,7,3,3,12,399.4912,0.195428,484.1351,632.4699,61.0,1.6929,18.0,17.0,0.4995,0.4718,7.0,11230,311.6559,0.305073,9.9907,2947.0,0.0,0.0,0.0,LCK,complete,2162,0
Delight,Gen.G,sup,13.01,2023,2023-01-18 11:00:07,-658.0,-813.0,-9.0,3087.0,3347.0,2.0,0,3,11,12,96.5495,0.0472312,294.7549,174.9769,110.0,3.0527,66.0,8.0,1.8316,0.222,19.0,2845,78.9547,0.0772853,0.2775,0.0,0.0,0.0,0.0,LCK,complete,2162,0
Zeus,T1,top,13.01,2023,2023-01-18 11:59:24,-482.0,56.0,-13.0,4884.0,7915.0,135.0,5,2,7,24,460.4435,0.176295,770.067,792.0681,34.0,1.0521,12.0,7.0,0.3713,0.2166,7.0,9226,285.4874,0.210933,7.7669,13854.0,0.0,0.0,0.0,LCK,complete,1939,1
Oner,T1,jng,13.01,2023,2023-01-18 11:59:24,-525.0,-484.0,-6.0,4457.0,5303.0,100.0,4,3,12,24,344.4662,0.131889,1056.1114,902.5993,61.0,1.8876,11.0,17.0,0.3404,0.526,9.0,7454,230.655,0.170419,5.5699,324.0,0.0,1.0,0.0,LCK,complete,1939,1
