playername,riot_id,tagline
Kael,카 엘,0211
Kael,봄방학기간,KR1
Viper,Blue,KR33
Viper,Viscose,KR1
Viper,Bot01,KR1
Raptor,Raptor,KR123
Kellin,참새크면비둘기,KR1
Kellin,댕청잇,KR123
VicLa,대광,God
Execute,장래희망은칼바람프로게이머입니다,LOL
Execute,엑스큐트,LOL
Diable,LSB Diable,KR1
Diable,적수가없는사람,KR1
Clear,songman,KR11
Clear,사과나무,2027
Roamer,당신 탓인 걸요,KR1
Roamer,우 맨,who
GIDEON,초록이필요해,KR3
GIDEON,초록이필요해,KR2
Fisher,High hopes,4992
Fisher,동구리미드,피노키오
Namgung,Gen G Namgung,KR1
Namgung,BRO Namgung,1004
Teddy,이브이,이 브
Teddy,Teddy,sss
Casting,Casting,KR11
Casting,95372441del,KR1
Life,Doinb,KR1
Life,나는 고등학교에 가본 적이없어,reze
Berserker,LYON,09012
BuLLDoG,LNG BuLLDoG,KR2
Pyosik,DNS Pyosik,KR2
Peter,아름다운 나라,K T
Peter,DNS 피터,0428
DuDu,따봉 람머스,KR1
DuDu,100590781del,KR1
Clozer,Maldives,0727
Clozer,210212,KR1
Clozer,인천물주먹,인천사람
deokdam,deokdam,225
deokdam,New York,dream
deokdam,Snow Country,0405
BeryL,BeryL,000
Lucid,DK Lucid,KR1
Lucid,너무재미있겠다,KR1
ShowMaker,DK ShowMaker,KR1
ShowMaker,DWG KIA,KR1
ShowMaker,MIDKING,asd
Siwoo,TOPKING,asd
Siwoo,일조오리탕,1124
Siwoo,DK Siwoo,siwoo
Career,꼬부기,0829
Smash,DK Smash,KR7
Smash,사옥 지박령,KR4
Rahel,Rahel,111
Rahel,jkjkjkjkk,1173
Bible,새우팔이소년,0206
Bible,2887165326353984,KR1
Jiwoo,DRX Jiwoo,123
kyeahoo,라면 밀수범,흐흐흐
kyeahoo,DRX Crush,DRX
SeTab,SeTab,123
SeTab,BAO,KR1
Juhan,Juhana,IsYou
Juhan,Juhana,OMG
Paduck,KT Paduck,2232
Pleata,pleata,KR22
Pleata,20751134del,KR1
Quad,62421387del,KR1
Quad,밀짚모자쿼드,TFT
Quad,FLY Quad,000
