playername,riot_id,tagline
Viper,Happy,A33
Viper,Mr Hopper,AYAYA
Quad,FLY Quad,0310
Quad,4114,EUW
Quantum,SWHC Quantum,EUW
Quantum,SWHC Díllun,EUW
Lehends,Lehends,원숭이
Canyon,asfdwrqe,123
Kiin,asdfzxcv,3347
Kiin,ICrazyFool,EUW
Zeus,Zimmer,god
Peanut,Peanut,krkr
Zeka,Dkdldb,516
Gumayusi,taco genius,8848
Delight,Delight11,kor
Delight,UZuzmawhigbH9nDU,EUW
Scout,Annihilation the,6404
Lehends,기인시꾸나래,모에모에뀨
Lehends,Prayer,1997
Doran,HLE TOP,1234
Peyz,qwewqrsad2w,11111
Faker,Hide on bush,61151
Oner,BONG BONG U,123
Keria,triplestar,star
Keria,RB GBM,EUW
