playername,teamname,position,patch,year,date,golddiffat15,xpdiffat15,csdiffat15,goldat15,xpat15,csat15,kills,deaths,assists,teamkills,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,visionscore,vspm,wardsplaced,wardskilled,wpm,wcpm,controlwardsbought,earnedgold,earned gpm,earnedgoldshare,cspm,damagetotowers,firstbloodkill,firstbloodassist,firstbloodvictim,league,datacompleteness,gamelength,result,season,riot_id,tagline,puuid
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1,2023,JUGKlNG,kr,ysUV1TRC6NzrZQ3ksW4ErkNcgN5sC6wLYek7d4A210rhkt5z1QQ6CYvC4a27vYkANg0jsTt_3glQGA
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1,2023,그어살,KR1,urlMALCz0ba54uvGLUhG-591bpvUL3mEbYFIswlVsNpCVnvHs1Q_oJ9u1IpKoMA-MMZAwdrJiEIT8w
Canyon,Dplus Kia,jng,13.01,2023,2023-01-18 08:17:31,338.0,-3.0,-6.0,5293.0,5306.0,93.0,4,1,5,20,342.0796,0.118761,770.0774,406.3274,83.0,2.7544,31.0,19.0,1.0288,0.6305,12.0,7129,236.5819,0.174023,5.9735,2024.0,0.0,0.0,0.0,LCK,complete,1808,1,2023,HUANG TONG DAYE,KR1,z0Q1QyoQC_onps0FB3S5kr5nwRsSAVbKpSxFN67--Nnkh8_Ey_8A90gbkZkHoybEwW0TGZqhOiJRnA
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1,2023,DK ShowMaker,KR1,rSs9HiF3cE0JCHM0tK4xFsx8QR9eyBvgYRnfP0w149sLYtrTyq5ppj2PDKQFhZvnv2D8EwDutck3iw
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1,2023,DWG KIA,KR1,9d6AXuj31bOzaI29tSikzaz9IhPeQBnIexF6ItlXMhOSm12ZK3685SSLDGaJCBsFh8y4_cxUaJCNyA
ShowMaker,Dplus Kia,mid,13.01,2023,2023-01-18 08:17:31,410.0,-32.0,10.0,5333.0,7356.0,142.0,3,2,8,20,571.2942,0.198339,684.0265,598.7389,35.0,1.1615,13.0,5.0,0.4314,0.1659,13.0,8896,295.2212,0.217156,9.292,4328.0,0.0,0.0,1.0,LCK,complete,1808,1,2023,MIDKING,asd,OSC-j8ddydn9fftfbc1AE6bg3RbTNdCtTOvwFmr4R3Tk-rJN8lDnG4Z8BNHvsyaMy0W0jjvWl5HOag
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0,2023,김김김,KR2,k6w0gvOsfwRFYWajhw0bRuNPCbMy7p4bYpNKeEY6fYOCvX4ilvkpaljVn6tuCJ4-WJCwiGU7ePPFAg
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0,2023,모두다함께차차차,KR1,hjghEpcTKtaRg-3_2SYEbmC257IrkckwdfiiFA09lRnWO8Sdt6NOWOZLQZb7O3Rm2USjm0Fi8miung
Croco,DRX,jng,13.01,2023,2023-01-18 08:17:31,-338.0,3.0,6.0,4955.0,5309.0,99.0,1,3,2,4,505.1881,0.260044,1045.4867,792.0133,34.0,1.1283,4.0,6.0,0.1327,0.1991,3.0,4293,142.4668,0.168757,4.8119,0.0,1.0,0.0,0.0,LCK,complete,1808,0,2023,운동된다이거,0223,DOVwqMXwIWIauDI0U924EEfZycxy1x1lS9ICSr9yPzst9PVyvpjMKO0_wCcLfoSEz2AVylKwqW94Cw
FATE,DRX,mid,13.01,2023,2023-01-18 08:17:31,-410.0,32.0,-10.0,4923.0,7388.0,132.0,0,4,3,4,426.8695,0.21973,541.7588,387.3451,21.0,0.6969,13.0,4.0,0.4314,0.1327,5.0,6053,200.8739,0.237941,8.8274,74.0,0.0,1.0,0.0,LCK,complete,1808,0,2023,FATE,0822,1V1KhUtZ_Z_WexlknAFcRF_brXY7351vQ7ZbWe7RcPocxjWrQcf-I_2hIYotSqZ3ETYldZC40hNQ5Q
