pca_group,component,explained_variance_ratio,cumulative_explained_variance_ratio
jng,PC1,0.25953776341874296,0.25953776341874296
jng,PC2,0.14170495324876523,0.4012427166675082
jng,PC3,0.10774320364721743,0.5089859203147257
jng,PC4,0.07295997419488856,0.5819458945096142
jng,PC5,0.056638711803356376,0.6385846063129705
jng,PC6,0.055666759391687234,0.6942513657046577
jng,PC7,0.046459985834903586,0.7407113515395614
jng,PC8,0.04315269566290913,0.7838640472024705
jng,PC9,0.0397439720118721,0.8236080192143426
jng,PC10,0.032361216159945305,0.8559692353742878
jng,PC11,0.026752165001650213,0.882721400375938
jng,PC12,0.023910753694144887,0.9066321540700829
jng,PC13,0.0202004786143113,0.9268326326843942
jng,PC14,0.018464381424068074,0.9452970141084622
jng,PC15,0.015001784252158607,0.9602987983606208
jng,PC16,0.011841954959383786,0.9721407533200046
jng,PC17,0.009157453450019217,0.9812982067700238
jng,PC18,0.005948218782084956,0.9872464255521087
jng,PC19,0.004532118103287713,0.9917785436553964
jng,PC20,0.0034181582059246854,0.9951967018613211
jng,PC21,0.002394896298517521,0.9975915981598387
jng,PC22,0.0015321562337707515,0.9991237543936095
jng,PC23,0.0008762456063900288,0.9999999999999994
mid,PC1,0.2692650574746302,0.2692650574746302
mid,PC2,0.12072717426338678,0.389992231738017
mid,PC3,0.09861707558654602,0.48860930732456304
mid,PC4,0.08123368191047337,0.5698429892350364
mid,PC5,0.06707842511331123,0.6369214143483476
mid,PC6,0.0526025577604995,0.6895239721088471
mid,PC7,0.04815564862171888,0.7376796207305659
mid,PC8,0.04062280836805413,0.77830242909862
mid,PC9,0.03816012572815783,0.8164625548267779
mid,PC10,0.03324479159329312,0.849707346420071
mid,PC11,0.03093170787532725,0.8806390542953982
mid,PC12,0.024293348388620038,0.9049324026840183
mid,PC13,0.021113827914793364,0.9260462305988116
mid,PC14,0.01706051123376215,0.9431067418325738
mid,PC15,0.013366630196937209,0.956473372029511
mid,PC16,0.009634159244834423,0.9661075312743455
mid,PC17,0.007619088819667129,0.9737266200940126
mid,PC18,0.007291331373655391,0.9810179514676679
mid,PC19,0.006071400974573216,0.9870893524422412
mid,PC20,0.005154588680668293,0.9922439411229095
mid,PC21,0.004481571017510219,0.9967255121404197
mid,PC22,0.0019576941341706263,0.9986832062745903
mid,PC23,0.0013167937254096333,0.9999999999999999
