pca_group,component,explained_variance_ratio,cumulative_explained_variance_ratio
jng,PC1,0.5931630489612711,0.5931630489612711
jng,PC2,0.2513073828720434,0.8444704318333145
jng,PC3,0.10407698636171951,0.948547418195034
jng,PC4,0.026033607233871336,0.9745810254289053
jng,PC5,0.02130283507625172,0.9958838605051571
jng,PC6,0.004116139494842957,1.0
mid,PC1,0.6772525275604688,0.6772525275604688
mid,PC2,0.15372963887574323,0.830982166436212
mid,PC3,0.08723169818740961,0.9182138646236216
mid,PC4,0.04611689566709406,0.9643307602907157
mid,PC5,0.023375701225122485,0.9877064615158382
mid,PC6,0.012293538484161665,0.9999999999999999
