playername,teamname,position,patch,patch_major,patch_minor,match_count,low_sample_flag,pca_group,PC1,PC2,PC3,PC4,PC5,PC6
Canyon,Gen.G,jng,14.01,14,1,14,0,jng,-2.3142323401559746,1.816681330667305,0.22327261387009392,0.41678618871850776,0.33561135618730353,0.029707235179215186
Cuzz,DN SOOPers,jng,14.01,14,1,13,0,jng,-0.8477067717634714,2.0116134827546417,-0.9579423943967005,-0.12872863983542926,0.24306133977212432,-0.03919531310728039
GIDEON,HANJIN BRION,jng,14.01,14,1,11,0,jng,-0.9596793119065774,0.9719357239775556,0.7081981143976714,-0.09376504011881326,-0.05358888448054893,-0.1244598792359075
Lucid,Dplus Kia,jng,14.01,14,1,14,0,jng,-2.551971891936103,0.56339959451743,0.31259068022602043,-0.2547053078385775,-0.22193210506377417,-0.1819717790923186
Oner,T1,jng,14.01,14,1,14,0,jng,0.3836739141427732,2.683333404033627,-0.36325974693879964,-0.13681727396633322,0.306341021157651,0.0875419214703032
Peanut,Hanwha Life Esports,jng,14.01,14,1,13,0,jng,-1.461825962119637,2.2449818816903595,-0.2869964056320184,-0.08515292472200417,-0.014155135949739625,0.04064346060069092
Pyosik,KT Rolster,jng,14.01,14,1,16,0,jng,-1.0695984980914244,1.2562566322541822,0.017663248736116324,-0.27063626072783264,0.2619754754994201,-0.05216494438714133
Sponge,DRX,jng,14.01,14,1,15,0,jng,-3.600179536474362,0.7938371150601444,0.3954438819179762,0.10699219419155384,0.058198309325699214,-0.025359335188983985
Sylvie,Nongshim RedForce,jng,14.01,14,1,14,0,jng,-4.1794486835240034,1.299704965564718,0.8704749695638997,0.35154903090025685,0.158432681486352,-0.07109587205770776
Willer,BNK FEARX,jng,14.01,14,1,14,0,jng,0.32978233783416583,2.007942712683998,-0.37527919642463187,-0.09898728369062267,0.13601522908719163,-0.12432276064129487
Canyon,Gen.G,jng,14.02,14,2,4,0,jng,-2.144444979290331,1.74860840444879,-1.8549764500556287,0.22689303694386573,0.7742574578265167,-0.06751925453779663
Cuzz,DN SOOPers,jng,14.02,14,2,5,0,jng,-1.9372688632989918,0.8176982154142979,0.0005313266688645182,0.5070490029737821,-0.5928499714741761,-0.24556887757464435
GIDEON,HANJIN BRION,jng,14.02,14,2,4,0,jng,-2.7489115745812223,1.587060719081058,-0.40847083023545205,-0.34354893542189535,-0.08756491956448922,-0.0681511107559014
